! comment start with '!', add reactions to each line, definitions see http://kida.obs.u-bordeaux1.fr/help
! alpha, beta, gamma: coefficients of reaction rates
! F: the uncertainty factor on the rate coefficient
! g: the temperature dependence of the uncertainty factor F
! err: Type of uncertainty : lognormal (logn) , normal (norm) , loguniform (logu) , uniform (unif)
!
! itype: the type of reaction:
! 1: direct CR ionization/dissociation. Format A + CR -> B + C
! 2: CR induced ionization/dissociation by UV photons emitted following H2 excitation. Format A + CRP -> B + C
! 3: FUV dissociation/ionization
! 4: Neutral-neutral (A + B → C + D), ion-neutral (A+ + B → C+ +D, A- + B → C- + D), anion-cation (A+ + B- → C + D) reactions and associative ionization (A + B → AB+ + e-)
! 5: Exchange reaction A+ + B → A + B+ and A+ + B- → A + B
! 6: Association reactions between two species (neutral or ionized) stabilized by the emission of a photon (A + B → AB + photon or A+ + B → AB+ + photon).
! 7: Association of a neutral species and an anion, resulting in the ejection of the extra electron (A- + B → AB + e-).
! 8: Recombination of a positive ion with an electron resulting in the dissociation of the molecule (AB+ + e- → A + B) or the emission of a photon
!    (AB+ + e- → AB + photon) or the attachment of the electron (A + e- → A- + photon)
! 9: grain assisted reactions (H2 formation, recombination)
! 10: other special reactions, up to 3 reactants and 5 products
! Tmin, Tmax: temperature range. When we do not have information on Trange, default values are used: -9999,9999.
!
! frml: formular for reaction rates:
! 1: Cosmic-ray ionization (direct and undirect)
! 2: Photo-dissociation (Draine)
! 3: Kooij 
! 4: ionpol1 
! 5: ionpol2 
! 6: Troe fall-off
! 7: customized
! ID: the number of reaction, the special rates are also set by this ID. ID has
!     to be an unique integer (int type in c++), but doesn't have to match the number of the line or any order.
! ni: the number of (alpha, beta, gamma) in the downloaded network when several values are present in KIDA. 
!
! r: Recommendation is the recommendation given by experts in KIDA. 
! 0: the value is not recommended. 
! 1: means that there is no recommendation (experts have not looked at the data). 
! 2: means that the value has been validated by experts over the Trange
! 3: means that it is the recommended value over Trange.
! 4: other (set in code. alpha, beta and gamma are irrelevant in this case)
! 5: new rates from Le Gal et al. 2014
! 6: new rates from UMIST12
!
! only columns starts with "*" is used in our program, the temperature range is extrapolated.
!   *Reactants 3x(s10+' ') + ' ' *Products 5x(s10+' ') + 2x' '                            *alpha     *beta      *gamma     F        g      err *itype Tmin  Tmax *frml  *ID ni r 
! Nitrogen network for NH3 and N2H+
! CR reactions. Note that here we define the rates according to the H ionization rate, not H2, which is 1/0.46 times larger than the kida rates
CH2+       CRP                    H          CH+                                           1.780e+02  0.000e+00  0.000e+00 0.00e+00 0.00e+00 logn  2  -9999   9999  1  8045 1  1
CH4+       CRP                    H          CH3+                                          5.400e+02  0.000e+00  0.000e+00 0.00e+00 0.00e+00 logn  2  -9999   9999  1  8047 1  1
OH+        CRP                    H          O+                                            1.720e+01  0.000e+00  0.000e+00 0.00e+00 0.00e+00 logn  2  -9999   9999  1  8048 1  1
O2+        CRP                    O          O+                                            1.400e+02  0.000e+00  0.000e+00 0.00e+00 0.00e+00 logn  2  -9999   9999  1  8051 1  1
CO+        CRP                    O          C+                                            1.540e+02  0.000e+00  0.000e+00 0.00e+00 0.00e+00 logn  2  -9999   9999  1  8052 1  1
HCO+       CRP                    H          CO+                                           6.600e+00  0.000e+00  0.000e+00 0.00e+00 0.00e+00 logn  2  -9999   9999  1  8054 1  1
NH+        CRP                    H          N+                                            4.400e+01  0.000e+00  0.000e+00 0.00e+00 0.00e+00 logn  2  -9999   9999  1  8056 1  1
! FUV photo ionization/dissociation, this is not included in zcl18
H2         Photon                 H          H                                             5.700e-11  0.000e+00  4.180e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2  8101 1  1
C          Photon                 C+         e-                                            3.500e-10  0.000e+00  3.760e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2  8102 1  2
CH         Photon                 C          H                                             9.100e-10  0.000e+00  2.120e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2  8103 1  2
CH         Photon                 CH+        e-                                            7.600e-10  0.000e+00  3.280e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2  8104 1  2
CH2        Photon                 H          CH                                            5.800e-10  0.000e+00  2.020e+00 1.50e+00 0.00e+00 logn  3  -9999   9999  2  8105 1  2
CH2        Photon                 CH2+       e-                                            1.000e-09  0.000e+00  2.300e+00 1.00e+01 0.00e+00 logn  3  -9999   9999  2  8106 1  1
CH3        Photon                 CH         H2                                            1.350e-10  0.000e+00  2.270e+00 1.00e+01 0.00e+00 logn  3  -9999   9999  2  8107 1  2
CH3        Photon                 H          CH2                                           1.350e-10  0.000e+00  2.270e+00 1.00e+01 0.00e+00 logn  3  -9999   9999  2  8108 1  2
CH3        Photon                 CH3+       e-                                            1.000e-10  0.000e+00  2.100e+00 1.00e+01 0.00e+00 logn  3  -9999   9999  2  8109 1  2
CH4        Photon                 CH4+       e-                                            6.800e-12  0.000e+00  3.940e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2  8110 1  2
